"sample","mz","HC","OC","DBE","DBE_O","AImod","NOSC","GFE","aliphatic","low.O.unsaturated","high.O.unsaturated","polyphenols","condensed.aromatics","fl_condensed.aromatics","fl_polyphenolic","fl_highly.unsat.phenolic","fl_aliphatic","fl_peptide","fl_sugar","H","O","C","N","S","sum","nformula"
"RO2.77",508.603528696196,1.08739487735298,0.541381794377942,11.9156707307605,-0.445523071578246,0.313962542981937,0.0581110168376614,58.6438360201266,11.7191780839838,25.184346339466,40.7344357466614,15.0504722486472,5.49137032836487,6.03552278281761,14.5063197941944,67.7389793390041,7.59758991310797,4.12158817087588,0,25.0922284321148,12.3611938023387,23.2824836269542,0.358602639727391,0.0686426290263446,9.99976608568379e-06,13737
"RO2.77D",514.827614876346,1.08602793521922,0.540333597513826,12.0703820552312,-0.433188443028206,0.314729112562204,0.0560016346804521,58.7039534116071,11.4381374873393,25.4899920582194,40.7826666029184,14.9666739657954,5.45011272051036,5.97108072233796,14.4457059639678,68.1450758263549,7.45983433851208,3.97830314882726,0,25.4074022223621,12.5035704982594,23.5971161408264,0.353934051171673,0.0661068994971213,9.99342759665571e-06,13737
"LR58",550.579174683362,1.075531912882,0.534424407277247,12.9943959451685,-0.323704245497745,0.321033299720998,0.0454163099074786,59.0056351676369,9.66390004942359,27.4308453098824,40.7375503878798,15.2083665778179,5.09690695035762,5.54236341181251,14.762910116363,70.0308264224009,6.41892087372957,3.24497917569402,0,27.1840253805105,13.3181001906662,25.4259671754531,0.320882919941156,0.0488826995658534,1e-05,13737
"T51",504.686856206693,1.08859041511649,0.542485706291744,11.8115838138997,-0.464306243913903,0.313051319423709,0.0602368459802037,58.5832498895642,11.9462712089561,24.8593475661089,40.77564794016,15.0924307619813,5.48540589506177,6.02939049085276,14.5484461661903,67.4758921340007,7.7516970367236,4.19457417223255,0,24.8925277072231,12.2758900578136,23.0763925533568,0.362910228308816,0.0705752661318309,9.99964790493356e-06,13737
"LR59",555.634867232529,1.07042761663023,0.536004404804361,13.1599562776344,-0.292070982206522,0.324317377271849,0.0522549337144584,58.8107343891379,9.46089233738959,27.4323367882501,40.5801515787114,15.3659369183514,5.19643571624835,5.58760395330352,14.9747686812962,69.9767350280107,6.3106906107068,3.15020172668278,0,27.3420835893678,13.4520272598409,25.675566594263,0.310862956110588,0.0457350387556419,1e-05,13737
"LR60",546.917338492967,1.07360248027711,0.535692079583437,12.9363613099785,-0.308148316104374,0.32237246076403,0.0508982618000838,58.8493995386976,9.83557436437053,26.9567147707122,40.6439250826729,15.2708448497122,5.38697037137206,5.81031731034122,14.8474979107431,69.5066104145452,6.50867357068397,3.32690079368655,0,26.9198970934533,13.2445096260829,25.2339447834943,0.324730146421741,0.0498782376188784,1e-05,13737
"LR62",537.283388299875,1.07730434065669,0.536620055203981,12.6836159172683,-0.336581218901575,0.320842614359193,0.0510451281007746,58.8452138491279,10.4490007324637,26.4187739877038,40.4958610473874,15.2563901891175,5.46053511743944,5.8883783707223,14.8285469358346,68.8340739609794,6.90212530766851,3.54687542479515,0,26.4659423613739,13.0201971361699,24.7514650682635,0.330244059383539,0.0537553941227245,9.99891705911188e-06,13737
"L328.2",549.504220645423,1.07565924910767,0.53484424250908,12.9637627174958,-0.3313376856054,0.320801039562411,0.0460932270950026,58.9863430277924,9.77237895217751,27.3516693568427,40.7033402133875,15.29127765372,5.09624129983142,5.56692155127762,14.8205974022738,69.840102094271,6.51765455372553,3.25472439845199,0,27.1334642765061,13.2951004031012,25.3705468836129,0.319895944271885,0.0495941499140134,1e-05,13737
"LR63",533.533245644196,1.0804472121611,0.538192931396084,12.5590028008265,-0.376219251582434,0.319002192164107,0.0518744667247947,58.8215776983433,10.7063881145256,26.3051051129842,40.7002748351973,15.0082240661179,5.42260470302712,5.84245449476895,14.588374274376,68.8627831163294,7.06656521596537,3.63982289856023,0,26.3296869896035,12.9352220524089,24.5590913515464,0.32950988816372,0.0557919648420846,9.99932273125497e-06,13737
"LR65",530.751566458693,1.08178982907154,0.537720815877732,12.481759905793,-0.376206695414783,0.31799177061289,0.0503463341341082,58.8651294771779,10.7712457301063,26.3743573077147,40.6343664174861,14.988648289964,5.41136984751327,5.85067142923833,14.549346708239,68.8287361324165,7.13209749436676,3.6391482357395,0,26.2279021798003,12.8579666012078,24.4288780816007,0.333665828184901,0.0576986209074736,9.99917581872033e-06,13737
